# (t) (U) (pS) 
0.000000 -0.000000 0.000000
0.000049 0.000000 0.000000
0.000097 0.000000 0.000000
0.000146 0.000000 0.000000
0.000195 0.000000 0.000000
0.000244 0.000000 0.000000
0.000292 0.000000 0.000000
0.000341 0.000000 0.000000
0.000390 0.000000 0.000000
0.000439 0.000000 0.000000
0.000487 0.000000 0.000000
0.000536 0.000000 0.000000
0.000585 0.000000 0.000000
0.000634 0.000000 0.000000
0.000682 0.000000 0.000000
0.000731 0.000000 0.000000
0.000780 0.000000 0.000000
0.000829 0.000000 0.000000
0.000877 0.000000 0.000000
0.000926 0.000000 0.000000
0.000975 0.000000 0.000000
0.001023 0.000000 0.000000
0.001072 0.000000 0.000000
0.001121 0.000000 0.000000
0.001170 0.000000 0.000000
0.001218 0.000000 0.000000
0.001267 0.000000 0.000000
0.001316 0.000000 0.000000
0.001365 0.000000 0.000000
0.001413 0.000000 0.000000
0.001462 0.000000 0.000000
0.001511 0.000000 0.000000
0.001560 0.000000 0.000000
0.001608 0.000000 0.000000
0.001657 0.000000 0.000000
0.001706 0.000000 0.000000
0.001755 0.000000 0.000000
0.001803 0.000000 0.000000
0.001852 0.000000 0.000000
0.001901 0.000000 0.000000
0.001949 0.000000 0.000000
0.001998 0.000000 0.000000
0.002047 0.000000 0.000000
0.002096 0.000000 0.000000
0.002144 0.000000 0.000000
0.002193 0.000000 0.000000
0.002242 0.000000 0.000000
0.002291 0.000000 0.000000
0.002339 0.000000 0.000000
0.002388 0.000000 0.000000
0.002437 0.000000 0.000000
0.002486 0.000000 0.000000
0.002534 0.000000 0.000000
0.002583 0.000000 0.000000
0.002632 0.000000 0.000000
0.002681 0.000000 0.000000
0.002729 0.000000 0.000000
0.002778 0.000000 0.000000
0.002827 0.000000 0.000000
0.002875 0.000000 0.000000
0.002924 0.000000 0.000000
0.002973 0.000000 0.000000
0.003022 0.000000 0.000000
0.003070 0.000000 0.000000
0.003119 0.000000 0.000000
0.003168 0.000000 0.000000
0.003217 0.000000 0.000000
0.003265 0.000000 0.000000
0.003314 0.000000 0.000000
0.003363 0.000000 0.000000
0.003412 0.000000 0.000000
0.003460 0.000000 0.000000
0.003509 0.000000 0.000000
0.003558 0.000000 0.000000
0.003606 0.000000 0.000000
0.003655 0.000000 0.000000
0.003704 0.000000 0.000000
0.003753 0.000000 0.000000
0.003801 0.000000 0.000000
0.003850 0.000000 0.000000
0.003899 0.000000 0.000000
0.003948 0.000000 0.000000
0.003996 0.000000 0.000000
0.004045 0.000000 0.000000
0.004094 0.000000 0.000000
0.004143 0.000000 0.000000
0.004191 0.000000 0.000000
0.004240 0.000000 0.000000
0.004289 0.000000 0.000000
0.004338 0.000000 0.000000
0.004386 0.000000 0.000000
0.004435 0.000000 0.000000
0.004484 0.000000 0.000000
0.004532 0.000000 0.000000
0.004581 0.000000 0.000000
0.004630 0.000000 0.000000
0.004679 0.000000 0.000000
0.004727 0.000000 0.000000
0.004776 0.000000 0.000000
0.004825 0.000000 0.000000
0.004874 0.000000 0.000000
0.004922 0.000000 0.000000
0.004971 0.000000 0.000000
0.005020 0.000000 0.000000
0.005069 0.000000 0.000000
0.005117 0.000000 0.000000
0.005166 0.000000 0.000000
0.005215 0.000000 0.000000
0.005264 0.000000 0.000000
0.005312 0.000000 0.000000
0.005361 0.000000 0.000000
0.005410 0.000000 0.000000
0.005458 0.000000 0.000000
0.005507 0.000000 0.000000
0.005556 0.000000 0.000000
0.005605 0.000000 0.000000
0.005653 0.000000 0.000000
0.005702 0.000000 0.000000
0.005751 0.000000 0.000000
0.005800 0.000000 0.000000
0.005848 0.000000 0.000000
0.005897 0.000000 0.000000
0.005946 0.000000 0.000000
0.005995 0.000000 0.000000
0.006043 0.000000 0.000000
0.006092 0.000000 0.000000
0.006141 0.000000 0.000000
0.006190 0.000000 0.000000
0.006238 0.000000 0.000000
0.006287 0.000000 0.000000
0.006336 0.000000 0.000000
0.006384 0.000000 0.000000
0.006433 0.000000 0.000000
0.006482 0.000000 0.000000
0.006531 0.000000 0.000000
0.006579 0.000000 0.000000
0.006628 0.000000 0.000000
0.006677 0.000000 0.000000
0.006726 0.000000 0.000000
0.006774 0.000000 0.000000
0.006823 0.000000 0.000000
0.006872 0.000000 0.000000
0.006921 0.000000 0.000000
0.006969 0.000000 0.000000
0.007018 0.000000 0.000000
0.007067 0.000000 0.000000
0.007116 0.000000 0.000000
0.007164 0.000000 0.000000
0.007213 0.000000 0.000000
0.007262 0.000000 0.000000
0.007310 0.000000 0.000000
0.007359 0.000000 0.000000
0.007408 0.000000 0.000000
0.007457 0.000000 0.000000
0.007505 0.000000 0.000000
0.007554 0.000000 0.000000
0.007603 0.000000 0.000000
0.007652 0.000000 0.000000
0.007700 0.000000 0.000000
0.007749 0.000000 0.000000
0.007798 0.000000 0.000000
0.007847 0.000000 0.000000
0.007895 0.000000 0.000000
0.007944 0.000000 0.000000
0.007993 0.000000 0.000000
0.008042 0.000000 0.000000
0.008090 0.000000 0.000000
0.008139 0.000000 0.000000
0.008188 0.000000 0.000000
0.008236 0.000000 0.000000
0.008285 0.000000 0.000000
0.008334 0.000000 0.000000
0.008383 0.000000 0.000000
0.008431 0.000000 0.000000
0.008480 0.000000 0.000000
0.008529 0.000000 0.000000
0.008578 0.000000 0.000000
0.008626 0.000000 0.000000
0.008675 0.000000 0.000000
0.008724 0.000000 0.000000
0.008773 0.000000 0.000000
0.008821 0.000000 0.000000
0.008870 0.000000 0.000000
0.008919 0.000000 0.000000
0.008968 0.000000 0.000000
0.009016 0.000000 0.000000
0.009065 0.000000 0.000000
0.009114 0.000000 0.000000
0.009162 0.000000 0.000000
0.009211 0.000000 0.000000
0.009260 0.000000 0.000000
0.009309 0.000000 0.000000
0.009357 0.000000 0.000000
0.009406 0.000000 0.000000
0.009455 0.000000 0.000000
0.009504 0.000000 0.000000
0.009552 0.000000 0.000000
0.009601 0.000000 0.000000
0.009650 0.000000 0.000000
0.009699 0.000000 0.000000
0.009747 0.000000 0.000000
0.009796 0.000000 0.000000
0.009845 0.000000 0.000000
0.009894 0.000000 0.000000
0.009942 0.000000 0.000000
0.009991 0.000000 0.000000
0.010040 0.000000 0.000000
0.010088 0.000000 0.000000
0.010137 0.000000 0.000000
0.010186 0.000000 0.000000
0.010235 0.000000 0.000000
0.010283 0.000000 0.000000
0.010332 0.000000 0.000000
0.010381 0.000000 0.000000
0.010430 0.000000 0.000000
0.010478 0.000000 0.000000
0.010527 0.000000 0.000000
0.010576 0.000000 0.000000
0.010625 0.000000 0.000000
0.010673 0.000000 0.000000
0.010722 0.000000 0.000000
0.010771 0.000000 0.000000
0.010819 0.000000 0.000000
0.010868 0.000000 0.000000
0.010917 0.000000 0.000000
0.010966 0.000000 0.000000
0.011014 0.000000 0.000000
0.011063 0.000000 0.000000
0.011112 0.000000 0.000000
0.011161 0.000000 0.000000
0.011209 0.000000 0.000000
0.011258 0.000000 0.000000
0.011307 0.000000 0.000000
0.011356 0.000000 0.000000
0.011404 0.000000 0.000000
0.011453 0.000000 0.000000
0.011502 0.000000 0.000000
0.011551 0.000000 0.000000
0.011599 0.000000 0.000000
0.011648 0.000000 0.000000
0.011697 0.000000 0.000000
0.011745 0.000000 0.000000
0.011794 0.000000 0.000000
0.011843 0.000000 0.000000
0.011892 0.000000 0.000000
0.011940 0.000000 0.000000
0.011989 0.000000 0.000000
0.012038 0.000000 0.000000
